artist_name,num_songs,tempo,loudness,energy
Alice Cooper,11,126.08763636363636,-8.96490909090909,0.7868181818181817
Alice Deejay,5,137.7938,-7.1384,0.8714000000000001
Alice Glass,2,80.087,-11.894,0.3415
Alice Merton,1,115.958,-7.295,0.657
Alice Russell,3,112.972,-10.427999999999999,0.42533333333333334
Alice in Chains,50,116.55772,-6.51206,0.77414
Alice in Videoland,10,137.0096,-5.3751,0.8534
Alicia Keys,37,113.68408108108108,-8.849108108108108,0.5305486486486487
Alien Ant Farm,9,128.4043333333333,-4.140333333333333,0.9306666666666666
Alien Sex Fiend,2,147.1415,-8.5005,0.8360000000000001
Alien Vampires,4,138.7575,-5.71075,0.987
Alif Tree,1,117.074,-9.725,0.475
Aliotta Haynes Jeremiah,1,94.004,-11.383,0.78
Alison Krauss,5,114.4822,-12.080400000000001,0.2952
Alison Krauss & Union Station,5,138.77100000000002,-10.965599999999998,0.5124
Alison Moyet,1,99.5,-7.672,0.53
Alix Perez,3,173.05633333333333,-7.151,0.648
Alizée,9,117.76288888888888,-6.010555555555555,0.8401111111111111
Alkaline Trio,41,131.99343902439023,-5.387170731707317,0.8783658536585366
All,1,170.937,-13.605,0.892
All My Faith Lost ...,1,75.432,-13.877,0.219
All Pigs Must Die,1,96.798,-3.751,0.969
All Saints,2,117.4025,-7.340999999999999,0.6025
All Shall Perish,24,121.18704166666667,-5.112041666666667,0.882875
All That Remains,21,113.81009523809524,-5.458142857142858,0.9572857142857142
All Time Low,21,140.1522857142857,-3.988428571428572,0.9033333333333333
All-4-One,1,83.217,-8.072,0.413
Allah-Las,1,119.283,-5.494,0.815
Alle Farben,2,118.497,-7.2475000000000005,0.61
Allie X,3,135.30433333333335,-4.102666666666667,0.8016666666666667
Allison Durham Speer,1,114.799,-9.556,0.465
Allison Iraheta,1,150.978,-1.912,0.918
Allister,5,155.98,-4.4948,0.9172
Aloe Blacc,5,149.625,-7.3264,0.6442
Aloha from Hell,1,130.061,-5.139,0.844
Alok,1,121.996,-7.757,0.43
Alpha,3,124.503,-11.827333333333334,0.36800000000000005
Alpha Blondy,1,143.994,-8.119,0.56
Alphabeat,2,126.97800000000001,-5.734999999999999,0.9045000000000001
Alphaville,5,116.1608,-11.1528,0.6532
Alphawezen,3,121.24566666666668,-11.131,0.573
Alpine,1,115.0,-5.456,0.64
Altan,1,72.858,-10.8,0.239
Altar Of Dagon,1,106.037,-10.714,0.86
Alter Bridge,17,146.5900588235294,-4.3703529411764706,0.9025882352941176
Altered Images,2,126.84450000000001,-7.5705,0.71
Althea & Donna,1,82.501,-10.33,0.445
Alton Ellis,1,88.747,-7.962,0.502
AlunaGeorge,2,106.0415,-7.2235,0.569
Alvvays,1,183.954,-6.242,0.459
Aly & AJ,5,134.3654,-3.8764000000000003,0.8096
Amadou & Mariam,4,116.57775000000001,-9.129000000000001,0.5415
Amaia Montero,1,139.948,-4.877,0.702
Amanda Blank,2,106.481,-4.457,0.7415
Amanda Jenssen,4,122.5345,-4.9407499999999995,0.74175
Amanda Palmer,4,104.79075,-7.656499999999999,0.432
Amaranthe,10,113.00720000000001,-4.918200000000001,0.9188000000000001
Amatory,2,124.98750000000001,-5.4465,0.9055
Ambeon,1,128.041,-8.473,0.601
Amber Asylum,1,144.173,-19.468,0.149
Amber Pacific,7,129.0374285714286,-4.127714285714285,0.9278571428571428
Amberian Dawn,5,100.33879999999999,-3.4219999999999997,0.859
Ambrosia,2,129.235,-9.435500000000001,0.588
Ambulance Ltd,5,124.73719999999999,-6.7829999999999995,0.7188
Amduscia,3,124.72399999999999,-9.430666666666667,0.943
Amel Bent,1,100.012,-5.83,0.673
Amel Larrieux,2,114.102,-12.432500000000001,0.2821
America,9,142.09922222222224,-8.809444444444445,0.6617777777777778
American Football,3,115.24566666666665,-8.915333333333335,0.6896666666666667
American Head Charge,4,104.379,-4.84125,0.95675
American Hi-Fi,9,130.07033333333334,-3.356222222222222,0.8967777777777778
Amerie,4,105.87625,-4.953,0.90725
Amesoeurs,8,131.27587499999998,-10.506,0.733375
Amethystium,11,104.89990909090908,-10.111818181818181,0.5742727272727273
Ametsub,1,126.986,-10.186,0.743
Amici Forever,1,74.984,-12.27,0.353
Amii Stewart,1,140.791,-11.199,0.805
Amiina,9,101.49544444444444,-16.046555555555553,0.15684233333333333
Amilcare Ponchielli,1,133.693,-22.982,0.0707
Ammoncontact,1,99.941,-9.971,0.53
Amon Amarth,47,145.29236170212766,-4.519595744680851,0.9670425531914894
Amon Düül II,4,143.29149999999998,-15.97275,0.49125
Amon Tobin,49,132.90361224489797,-9.467469387755102,0.6917959183673469
Amorphis,74,125.66662162162162,-5.4611081081081085,0.8380675675675676
Amorphous Androgynous,2,114.5325,-19.173499999999997,0.427
Amos Lee,22,121.06877272727273,-11.590363636363636,0.29474545454545453
Amparanoia,4,119.4825,-7.56875,0.7645
Amplifier,2,139.9645,-7.734,0.728
Amusement Parks On Fire,7,124.05728571428573,-8.758,0.5878285714285714
Amy Adams,1,174.064,-8.22,0.582
Amy Diamond,1,92.722,-5.238,0.788
Amy Grant,1,97.861,-5.534,0.888
Amy Lambert,1,117.855,-7.429,0.609
Amy Lee,1,97.998,-9.945,0.299
Amy Macdonald,9,124.16766666666666,-6.888999999999999,0.6975333333333333
Amy Millan,3,114.96333333333332,-7.321666666666666,0.6413333333333333
Amy Winehouse,23,106.64186956521739,-6.367217391304348,0.6120434782608696
An Albatross,3,107.45100000000001,-6.349333333333334,0.816
An Autumn for Crippled Children,1,160.643,-4.24,0.947
An Danzza,1,109.979,-10.288,0.352
An Endless Sporadic,1,100.005,-7.425,0.763
Ana Tijoux,1,104.014,-7.169,0.692
Anaal Nathrakh,37,123.15045945945946,-4.740891891891892,0.6754864864864865
Anal Cunt,2,120.834,-6.9615,0.9635
Anamanaguchi,2,112.1065,-4.0595,0.87
Ananda Shankar,1,132.885,-11.961,0.695
Anarbor,5,143.9718,-3.693,0.8458
Anastacia,5,103.4386,-5.0896,0.7674
Anathema,43,114.27044186046511,-11.505325581395349,0.5161232558139535
Anberlin,29,145.67758620689654,-5.7043448275862065,0.8403448275862069
Ancient Astronauts,1,89.99,-7.28,0.772
And Also The Trees,1,128.014,-12.795,0.447
And Hell Followed With,1,102.634,-3.854,0.973
And One,1,95.991,-8.833,0.735
And So I Watch You From Afar,8,114.29425,-6.973625,0.715125
Andain,1,130.998,-8.111,0.665
Anderson .Paak,2,123.56700000000001,-7.1805,0.7715000000000001
Andhim,1,119.981,-8.354,0.797
Andrea Bocelli,10,118.5001,-8.3569,0.3947
Andrea Doria,1,126.997,-7.195,0.794
Andrea True Connection,1,103.025,-10.834,0.555
Andrew Bird,29,123.47272413793104,-11.38148275862069,0.4195551724137931
Andrew Lloyd Webber,7,91.06700000000001,-13.641428571428571,0.304
Andrew W.K.,5,161.82819999999998,-3.535,0.9498
Andreya Triana,2,89.52799999999999,-10.0485,0.467
Androcell,1,101.965,-7.942,0.658
Andru Donalds,4,152.4855,-5.7995,0.7015
André Wall,1,119.971,-8.296,0.661
Andrés Calamaro,1,68.467,-6.624,0.648
Andrés Segovia,1,78.474,-25.484,0.281
Andy C,1,173.985,-11.955,0.874
Andy Kim,1,123.519,-7.378,0.768
Andy McKee,4,112.3365,-10.80075,0.3865
Andy Timmons,1,89.804,-8.136,0.651
Andy Williams,1,157.225,-9.573,0.631
Ane Brun,7,115.51700000000001,-13.466285714285716,0.2252
Angel Witch,2,121.857,-8.310500000000001,0.9065
Angela Lansbury,1,171.584,-14.447,0.162
Angels & Agony,1,128.016,-9.933,0.73
Angels & Airwaves,17,148.61482352941178,-6.157,0.8362941176470589
Angels Of Venice,2,141.9825,-14.950499999999998,0.2505
Angelspit,10,150.6131,-4.5386,0.9521000000000001
Angelzoom,2,98.463,-6.2170000000000005,0.581
Anggun,1,83.97,-6.488,0.795
Angie Stone,3,114.65866666666666,-6.047999999999999,0.7116666666666666
Angra,9,125.26922222222223,-7.499555555555555,0.8183333333333334
Angtoria,6,97.51283333333333,-5.512666666666667,0.8508333333333332
Angus & Julia Stone,23,113.50382608695651,-11.969,0.3615434782608696
Angélique Kidjo,2,107.443,-7.779,0.7475
Ani DiFranco,1,143.667,-7.904,0.61
Ania,9,121.38399999999999,-8.447333333333333,0.5047777777777778
Animal Collective,70,115.8963,-9.803128571428571,0.6599242857142856
Animal Liberation Orchestra,1,123.396,-9.79,0.604
Animals as Leaders,13,139.38023076923076,-7.511615384615386,0.7402307692307691
Animals on Wheels,2,161.11200000000002,-10.2375,0.641
Animosity,4,104.3555,-4.491,0.92875
Anita Baker,2,78.179,-7.4125,0.573
Anita Lipnicka & John Porter,3,126.28666666666668,-8.364,0.515
Anita Ward,1,127.618,-12.267,0.555
Anja Garbarek,9,118.95288888888889,-14.968666666666666,0.26863333333333334
Anja Schneider,3,127.738,-12.229999999999999,0.5343333333333333
Ann Downing,1,107.201,-14.006,0.203
Ann Peebles,1,80.17,-10.904,0.429
Anna Abreu,2,95.753,-6.6495,0.72
