artist_name,total_artist_plays,artist_song_count
Beartooth,19,1
Beastie Boys,39946,49
Beatfreakz,14,1
Beats Antique,6836,6
Beatsteaks,4549,18
Bebe,4131,2
Bebel Gilberto,10176,9
Beborn Beton,3,1
Beck,27565,41
Becoming the Archetype,138,3
Bednarek,82,1
Bedouin Soundclash,8330,6
Bee Gees,7621,6
Beenie Man,6021,1
Before Their Eyes,280,1
Before the Dawn,444,6
Beginner,1324,6
Behemoth,6465,40
Beherit,105,11
Beirut,139011,29
Belanova,6413,3
Belinda,254,1
Bell Orchestre,30,1
Belle and Sebastian,30530,24
Belleruche,1742,5
Bellini,62,1
Belly,85,1
Belong,90,3
Belouis Some,5,1
Belphegor,3430,12
Ben Folds,11403,21
Ben Folds Five,11964,16
Ben Gibbard,1232,1
Ben Harper,6402,7
Ben Howard,399,4
Ben Klock,72,1
Ben Kweller,1871,6
Ben Lee,1926,3
Ben Westbeech,257,2
Ben l'Oncle Soul,55,1
Benassi Bros.,17,2
Beneath The Sky,18,2
Beneath the Massacre,96,4
Benediction,275,1
Benga,8179,12
Beni,57,1
Benjamin Biolay,461,6
Benny Benassi,393,4
Benoit & Sergio,6,1
Bent,619,3
Bentley Rhythm Ace,11093,2
Benzino,40,1
Bernard Fanning,350,1
Bernard Herrmann,28,1
Bernward Koch,666,4
Bert Jansch,951,1
Bertie Higgins,84,1
Beseech,14,1
Best Coast,3041,1
Beth Gibbons & Rustin Man,1113,7
Beth Orton,4788,5
Betraying the Martyrs,2041,6
Bette Midler,2,1
Better Than Ezra,9,1
Bettie Serveert,5,1
Betty Davis,141,2
Betty Who,4,1
Betty Wright,25,1
Between the Buried and Me,5245,12
Beulah,1082,3
Beyoncé,20685,17
Bibio,11,2
Biffy Clyro,21419,18
Big Black,319,2
Big Boi,62,2
Big Brother & The Holding Company,17,1
Big Bud,663,2
Big D And The Kids Table,1586,19
Big L,1775,6
Big Punisher,6585,4
Big Sean,3,1
Big Star,156,1
Big Youth,176,1
Bikini Kill,369,2
Bill Evans,365,3
Bill Haley & His Comets,139,1
Billie Eilish,8,1
Billie Holiday,905,9
Billie Myers,2739,1
Billie the Vision & the Dancers,2638,2
Billy Bragg,2859,1
Billy Bragg & Wilco,5325,7
Billy Cobham,514,2
Billy Currington,43114,7
Billy Eckstine,214,1
Billy Idol,5569,6
Billy Joel,6340,6
Billy Ocean,459,1
Billy Preston,2012,1
Billy Squier,6925,1
Billy Swan,590,1
Billy Talent,23125,21
Bing Crosby,188,4
Biohazard,34,1
Biosphere,887,17
Birdy,52,3
Birdy Nam Nam,3533,6
Bis,335,1
Biting Elbows,10,1
Bitter:Sweet,3,1
Bizzy Bone,89,1
Björk,16965,30
Black Books,3,1
Black Box,349,1
Black Box Recorder,142,1
Black Dice,455,7
Black Eyed Peas,103233,15
Black Flag,1405,11
Black Grape,2123,2
Black Joe Lewis & The Honeybears,4539,1
Black Kids,2227,3
Black Label Society,5253,21
Black Light Burns,835,3
Black Lips,2497,3
Black Messiah,25,1
Black Moth Super Rainbow,10669,18
Black Mountain,2492,8
Black Rebel Motorcycle Club,7944,18
Black Sabbath,9528,27
Black Sheep,4926,1
Black Star,4476,1
Black Stone Cherry,600,1
Black Strobe,316,2
Black Sun Empire,652,2
Black Tambourine,470,5
Black Tide,4418,8
Black Uhuru,690,5
Black Veil Brides,45,6
Blackalicious,4954,3
Blackbird Blackbird,16,1
Blackfield,3414,6
Blackfilm,12,1
Blackmill,161,1
Blackmore's Night,4356,16
Blake Shelton,6009,3
Blakroc,237,2
Blancmange,287,1
Blank & Jones,1086,4
Blank Banshee,3,1
Blawan,4,1
Bleachers,1,1
Bleed from Within,61,3
Bleeding Through,1848,17
Blind Faith,1795,3
Blind Guardian,1227,12
Blind Melon,7421,11
Blind Pilot,21324,7
Blinded Colony,75,1
Bliss,11,1
Blitzen Trapper,10022,2
Bloc Party,23225,21
Blockhead,9947,13
Blonde Redhead,13779,26
Blondie,5686,8
Blood Axis,115,1
Blood Ceremony,3,1
Blood Has Been Shed,5,1
Blood Orange,304,1
Blood Red Shoes,4780,9
Blood Red Throne,33,1
Blood Stain Child,404,8
"Blood, Sweat & Tears",81,2
Bloodbath,1885,22
